TAIR10,TAIR10 description,LF - Bo,,MF1 - Bo,MF2 - Bo
AT1G01010,ANAC001 (Arabidopsis NAC domain containing protein 1); transcription factor,Bo5g002950;Bo5g002810,,-,-
AT1G01020,ARV1,Bo5g002840;Bo5g002800,,-,-
AT1G01030,NGA3 (NGATHA3); transcription factor,Bo5g002790,,-,-
AT1G01040,DCL1 (DICER-LIKE 1); ATP-dependent helicase/ double-stranded RNA binding / protein binding / ribonuclease III,Bo5g002780,,-,-
AT1G01046,MIR838a; miRNA,na ,,na ,na 
AT1G01050,AtPPa1 (Arabidopsis thaliana pyrophosphorylase 1); inorganic diphosphatase,Bo5g002770,,-,Bo8g117580
AT1G01060,LHY (LATE ELONGATED HYPOCOTYL); DNA binding / transcription factor,-,,-,-
AT1G01070,nodulin MtN21 family protein,Bo5g002750,,-,Bo8g117600
AT1G01073,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G01080,33 kDa ribonucleoprotein chloroplast putative / RNA-binding protein cp33 putative,na ,,na ,na 
AT1G01090,PDH-E1 ALPHA (PYRUVATE DEHYDROGENASE E1 ALPHA); pyruvate dehydrogenase (acetyl-transferring),na ,,na ,na 
AT1G01100,60S acidic ribosomal protein P1 (RPP1A),Bo5g002710,,-,Bo8g117670
AT1G01110,IQD18 (IQ-domain 18),Bo5g002700,,-,-
AT1G01115,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G01120,KCS1 (3-KETOACYL-COA SYNTHASE 1); acyltransferase/ fatty acid elongase,Bo5g002690,,-,Bo8g117680
AT1G01130,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G01140,CIPK9 (CBL-INTERACTING PROTEIN KINASE 9); ATP binding / kinase/ protein kinase/ protein serine/threonine kinase,Bo5g002680,,-,Bo8g117700
AT1G01150,DNA binding / protein binding / zinc ion binding,-,,-,-
AT1G01160,SSXT protein-related / transcription co-activator-related,Bo5g002670,,-,Bo8g117720
AT1G01170,ozone-responsive stress-related protein putative,Bo5g002660,,-,-
AT1G01180,unknown protein,Bo5g002650,,-,-
AT1G01183,MIR165/MIR165A; miRNA,na ,,na ,na 
AT1G01190,CYP78A8; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding,Bo5g002640,,-,Bo8g117730
AT1G01200,ATRABA3 (ARABIDOPSIS RAB GTPASE HOMOLOG A3); GTP binding,Bo5g002630,,-,-
AT1G01210,DNA-directed RNA polymerase III family protein,-,,-,Bo8g117750
AT1G01220,GHMP kinase-related,-,,-,Bo8g117760
AT1G01225,NC domain-containing protein-related,-,,-,Bo8g117770
AT1G01230,ORMDL family protein,na ,,na ,na 
AT1G01240,unknown protein,na ,,na ,na 
AT1G01250,AP2 domain-containing transcription factor putative,Bo5g002600,,-,Bo8g117810
AT1G01260,basic helix-loop-helix (bHLH) family protein,Bo5g002590,,-,-
AT1G01270,pre-tRNA,na ,,na ,na 
AT1G01280,CYP703A2 (CYTOCHROME P450 FAMILY 703 SUBFAMILY A POLYPEPTIDE 2); oxidoreductase acting on paired donors with incorporation or reduction of molecular oxygen NADH or NADPH as one donor and incorporation of one atom of oxygen / oxygen binding,Bo5g002580,,-,-
AT1G01290,CNX3 (COFACTOR OF NITRATE REDUCTASE AND XANTHINE DEHYDROGENASE 3); catalytic,-,,-,Bo8g117820
AT1G01300,aspartyl protease family protein,Bo5g002570,,-,-
AT1G01305,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G01310,allergen V5/Tpx-1-related family protein,Bo5g002560,,-,Bo8g117830
AT1G01320,tetratricopeptide repeat (TPR)-containing protein,Bo5g002550,,-,-
AT1G01340,ATCNGC10 (CYCLIC NUCLEOTIDE GATED CHANNEL 10); calmodulin binding / cyclic nucleotide binding / ion channel,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G01350,nucleic acid binding / protein binding / zinc ion binding,na ,,na ,na 
AT1G01355,zinc ion binding,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G01360,unknown protein,Bo5g002530,,-,-
AT1G01370,HTR12; DNA binding,na ,,na ,na 
AT1G01380,ETC1 (ENHANCER OF TRY AND CPC 1); DNA binding / transcription factor,-,,-,Bo8g117860
AT1G01390,UDP-glucoronosyl/UDP-glucosyl transferase family protein,Bo5g002510,,-,-
AT1G01400,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G01410,APUM22 (Arabidopsis Pumilio 22); RNA binding / binding,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G01420,UGT72B3 (UDP-GLUCOSYL TRANSFERASE 72B3); UDP-glycosyltransferase/ quercetin 3-O-glucosyltransferase/ transferase transferring glycosyl groups,na ,,na ,na 
AT1G01430,unknown protein,Bo5g002500,,-,-
AT1G01440,extra-large G-protein-related,Bo5g002490,,-,-
AT1G01448,other RNA,na ,,na ,na 
AT1G01450,protein kinase-related,-,,-,Bo8g117870
AT1G01453,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: Harpin-induced 1 (InterPro:IPR010847); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G01110.1); Has 125 Blast hits to 124 proteins in 11 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 125; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,Bo5g002480,,-,-
AT1G01460,PIPK11; 1-phosphatidylinositol-4-phosphate 5-kinase/ phosphatidylinositol phosphate kinase,Bo5g002470,,Bo3g001010,-
AT1G01470,LEA14 (LATE EMBRYOGENESIS ABUNDANT 14),-,,Bo3g001020,-
AT1G01471,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G01480,ACS2; 1-aminocyclopropane-1-carboxylate synthase,Bo5g002460,,-,-
AT1G01490,heavy-metal-associated domain-containing protein,Bo5g002450,,-,Bo8g117890
AT1G01500,unknown protein,na ,,na ,na 
AT1G01510,AN (ANGUSTIFOLIA); protein binding,na ,,na ,na 
AT1G01520,myb family transcription factor,Bo5g002430;Bo5g002760,,Bo3g001090,-
AT1G01530,AGL28 (AGAMOUS-LIKE 28); DNA binding / transcription factor,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G01540,protein kinase family protein,Bo5g002420,,-,Bo8g117910
AT1G01550,BPS1 (BYPASS 1),Bo5g002410,,-,-
AT1G01560,ATMPK11; MAP kinase/ kinase,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G01570,fringe-related protein,Bo5g002400,,-,-
AT1G01580,FRO2 (FERRIC REDUCTION OXIDASE 2); ferric-chelate reductase,Bo5g002390,,-,Bo8g117920
AT1G01590,FRO1 (FERRIC REDUCTION OXIDASE 1); ferric-chelate reductase,na ,,na ,na 
AT1G01600,CYP86A4; fatty acid (omega-1)-hydroxylase/ oxygen binding,Bo5g002380,,-,Bo8g117940
AT1G01610,GPAT4 (GLYCEROL-3-PHOSPHATE ACYLTRANSFERASE 4); 1-acylglycerol-3-phosphate O-acyltransferase/ acyltransferase,Bo5g001000,,-,Bo8g117950;Bo8g117960
AT1G01620,PIP1C (PLASMA MEMBRANE INTRINSIC PROTEIN 1C); water channel,Bo5g001010,,-,Bo8g117970
AT1G01630,SEC14 cytosolic factor putative / phosphoglyceride transfer protein putative,Bo5g001020,,-,Bo8g117990
AT1G01640,speckle-type POZ protein-related,Bo5g001030,,-,-
AT1G01650,aspartic-type endopeptidase/ peptidase,Bo5g001040,,-,Bo8g118000
AT1G01660,U-box domain-containing protein,Bo5g001050,,-,-
AT1G01670,U-box domain-containing protein,na ,,na ,na 
AT1G01680,U-box domain-containing protein,na ,,na ,na 
AT1G01690,unknown protein,Bo5g001080,,-,-
AT1G01695,unknown protein,-,,-,Bo8g118020
AT1G01700,ROPGEF2; Rho guanyl-nucleotide exchange factor/ protein binding,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G01710,acyl-CoA thioesterase family protein,Bo5g001090,,-,-
AT1G01720,ATAF1; transcription activator/ transcription factor,Bo5g001100,,-,Bo8g117560
AT1G01725,unknown protein,Bo5g001120,,-,-
AT1G01730,unknown protein,na ,,na ,na 
AT1G01740,protein kinase family protein,Bo5g001130,,-,-
AT1G01750,ADF11 (ACTIN DEPOLYMERIZING FACTOR 11); actin binding,na ,,na ,na 
AT1G01760,RNA binding / adenosine deaminase,Bo5g001140,,-,-
AT1G01770,unknown protein,na ,,na ,na 
AT1G01780,LIM domain-containing protein,Bo5g001150,,-,Bo8g118070
AT1G01790,KEA1 (K EFFLUX ANTIPORTER 1); potassium ion transmembrane transporter/ potassium:hydrogen antiporter,Bo5g001160,,-,Bo8g118080
AT1G01800,short-chain dehydrogenase/reductase (SDR) family protein,-,,-,-
AT1G01810,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G01820,PEX11C (PEROXIN 11C),na ,,na ,na 
AT1G01830,armadillo/beta-catenin repeat family protein,Bo5g001190,,-,-
AT1G01840,unknown protein,Bo5g001200,,-,-
AT1G01860,PFC1 (PALEFACE 1); mRNA (2'-O-methyladenosine-N6-)-methyltransferase,na ,,na ,na 
AT1G01870,pre-tRNA,na ,,na ,na 
AT1G01880,DNA repair protein putative,-,,-,Bo8g118110
AT1G01890,pre-tRNA,na ,,na ,na 
AT1G01900,SBTI1.1; serine-type endopeptidase,Bo5g001210,,-,-
AT1G01910,anion-transporting ATPase putative,Bo5g001230,,-,Bo8g118130
AT1G01920,SET domain-containing protein,-,,-,Bo8g118140
AT1G01930,zinc finger protein-related,-,,-,Bo8g118150
AT1G01940,peptidyl-prolyl cis-trans isomerase cyclophilin-type family protein,-,,-,Bo8g118160
AT1G01950,armadillo/beta-catenin repeat family protein / kinesin motor family protein,-,,-,Bo8g118170
AT1G01960,EDA10 (embryo sac development arrest 10); ARF guanyl-nucleotide exchange factor/ binding / guanyl-nucleotide exchange factor,-,,-,Bo8g118180
AT1G01970,pentatricopeptide (PPR) repeat-containing protein,Bo5g001240,,-,-
AT1G01980,ATSEC1A; FAD binding / catalytic/ electron carrier/ oxidoreductase,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G01990,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: chloroplast lumen common family protein (TAIR:AT2G37400.1); Has 16 Blast hits to 16 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 16; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,Bo5g001250,,-,-
AT1G02000,GAE2 (UDP-D-GLUCURONATE 4-EPIMERASE 2); UDP-glucuronate 4-epimerase/ catalytic,-,,-,-
AT1G02010,SEC1A (SIMILAR TO ELECTRON CAREER 1A); protein transporter,-,,-,Bo8g118190
AT1G02020,nitroreductase family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G02030,zinc finger (C2H2 type) family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G02040,zinc finger (C2H2 type) family protein,Bo5g001300,,-,Bo8g118200
AT1G02050,chalcone and stilbene synthase family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G02060,pentatricopeptide (PPR) repeat-containing protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G02065,SPL8 (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE 8); DNA binding,Bo5g001290,,-,Bo8g118210
AT1G02070,unknown protein,-,,-,Bo8g118220
AT1G02074,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G02080,transcriptional regulator-related,Bo5g001270,,-,Bo8g118240
AT1G02090,FUS5 (FUSCA 5); MAP kinase kinase,Bo5g001310,,-,Bo8g118260
AT1G02100,leucine carboxyl methyltransferase family protein,-,,-,Bo8g118270
AT1G02110,proline-rich family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G02120,VAD1 (VASCULAR ASSOCIATED DEATH1),Bo5g001320,,-,-
AT1G02130,ARA-5 (ARABIDOPSIS RAS 5); GTP binding,na ,,na ,na 
AT1G02136,pseudogene of phagocytosis and cell motility protein,na ,,na ,na 
AT1G02140,MAGO (MAGO NASHI); protein binding,na ,,na ,na 
AT1G02145,transferase transferring glycosyl groups,Bo5g001340,,-,Bo8g118300
AT1G02150,pentatricopeptide (PPR) repeat-containing protein,Bo5g001350,,-,-
AT1G02160,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: MTCP1 (InterPro:IPR009069) CHCH (InterPro:IPR010625); Has 27 Blast hits to 27 proteins in 14 species: Archae - 0; Bacteria - 0; Metazoa - 2; Fungi - 16; Plants - 9; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,Bo5g001360,,-,-
AT1G02170,AMC1 (METACASPASE 1); cysteine-type endopeptidase,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G02180,ferredoxin-related,Bo5g001370,,-,-
AT1G02190,CER1 protein putative,-,,-,Bo8g118320
AT1G02205,CER1 (ECERIFERUM 1); octadecanal decarbonylase,na ,,na ,na 
AT1G02210,regulator of shoot apical meristem-related,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G02220,ANAC003 (Arabidopsis NAC domain containing protein 3); transcription factor,-,,-,-
AT1G02228,transposable element gene,na ,,na ,na 
AT1G02230,ANAC004 (Arabidopsis NAC domain containing protein 4); transcription factor,na ,,na ,na 
AT1G02250,anac005 (Arabidopsis NAC domain containing protein 5); transcription factor,na ,,na ,na 
AT1G02260,transmembrane protein putative,-,,-,Bo8g117550
AT1G02270,endonuclease/exonuclease/phosphatase family protein / calcium-binding EF hand family protein,Bo5g002970,,-,Bo8g117540
